Word,Frequency
kurz,1
maus,2
mog,1
gutig,1
hut,1
blodeln,1
bar,1
mull,1
tasch,2
jat,1
loffeln,1
dorr,1
luft,1
dung,1
grubeln,1
pruf,1
nacht,2
fuhr,1
sonn,2
vas,2
schul,3
wort,1
1,2
stor,1
plund,1
2,2
glanz,1
schur,1
foli,2
grol,1
uhr,2
kamm,1
gluck,1
orang,2
vogel,2
yoga,2
dos,1
toricht,1
trost,1
turm,2
ergotz,1
zugeln,1
blum,2
los,1
uniform,2
frohlich,1
mah,1
wuhl,1
leit,2
arg,1
tot,1
fuss,1
wolk,2
quiz,2
schwor,2
haus,2
fadeln,1
rost,1
bosartig,1
nest,2
mund,1
suss,1
igel,2
apfel,2
jung,2
fug,1
qual,1
hohl,1
hohn,1
elefant,2
kod,1
auto,2
kundig,1
ubt,1
topf,1
taglich,1
ford,2
xylofon,2
drach,2
fen,2
radio,2
rocheln,1
schnur,1
quall,2
losch,2
damlich,1
reg,2
achz,1
durst,1
fron,1
wass,3
kaffe,2
papi,2
zitron,2
hoflich,1
tunch,1
gart,2
zuchtig,2
warm,1
pokeln,1
ruhr,1
plarr,1
himmel,2
burst,1
fisch,2
kugel,2
schal,1
muh,1
brut,1
bos,1
machtig,1
seit,2
dorf,2
drohn,1
comput,2
giraff,2
ozean,2
zog,1
buck,1
bandig,2
rot,1
schwul,1
gar,1
kas,1
kuhl,1
ol,1
schlurf,1
zebra,2
lummeln,1
burg,1
chef,2
lamp,2
offn,1
mond,2
pobeln,1
banan,2
insel,2
jack,2
hupf,1
damm,1
sturz,1
esel,2
pferd,2
lug,1
norgeln,1
